Title,Author,Start Date,End Date,Publication Year,Source,Volume,Issue,Beg page,End page,Order,Family,Genus,Species,Age,Latitude,Longitude,Number monitored,Total Mortality,Known Mortality,Total Harvest,Legal Harvest,Illegal Harvest,Vehicle,Poisoning,Agricultural,Train,Fence Entanglement,Other Human,Management Related,Predation,Disease,Accident/Injury,Other Natural,Starvation/Malnutrition,Weather,Drowning,Other Animal-Nonpredation,Unknown
Demography of Decline of the Red Wine Mountains Caribou Herd,Schaefer,1981,1997,1999,The Journal of Wildlife Management,63,2,580,587,Artiodactyla,Cervidae,Rangifer,tarandus,Adult,53.35149,-60.44484,72,30,30,3,3,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
An Evaluation of life history parameters of white-tailed deer in North Dakota,Schaffer,2010,2011,2013,Thesis: South Dakota State University,,,1,74,Artiodactyla,Cervidae,Odocoileus,virginianus,Adult,47.30692,-100.07751,75,21,13,6,6,0,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,8
Population Ecology of swift foxes in southeastern Colorado,Schauster,1997,1998,2002,Canadian Journal of Zoology,80,2,307,319,Carnivora,Canidae,Vulpes,velox,Multiple,37.49711,-104.15837,90,33,23,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,0,10
Effects of control on the dynamics of an adjacent protected wolf population in interior Alaska,Schmidt,1993,2014,2017,The Journal of Wildlife Management,198,1,1,30,Carnivora,Canidae,Canis,lupus,Adult,64.88633,-142.93873,146,104,83,22,22,0,0,0,0,0,0,0,13,0,0,0,48,0,0,0,0,21
Causes of mortality in reintroduced Eurasian lynx in Switzerland,Schmidt-Posthaus,1987,1989,2002,Journal of Wildlife Diseases,38,1,84,92,Carnivora,Felidae,Lynx,lynx,Adult,46.83041,7.33322,NA,4,3,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Causes of mortality in reintroduced Eurasian lynx in Switzerland,Schmidt-Posthaus,1987,1989,2002,Journal of Wildlife Diseases,38,1,84,92,Carnivora,Felidae,Lynx,lynx,Adult,46.83041,7.33322,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
Causes of mortality in reintroduced Eurasian lynx in Switzerland,Schmidt-Posthaus,1987,1989,2002,Journal of Wildlife Diseases,38,1,84,92,Carnivora,Felidae,Lynx,lynx,Juvenile,47.24968,7.12448,NA,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Causes of mortality in reintroduced Eurasian lynx in Switzerland,Schmidt-Posthaus,1987,1989,2002,Journal of Wildlife Diseases,38,1,84,92,Carnivora,Felidae,Lynx,lynx,Juvenile,47.24968,7.12448,NA,3,3,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ecology of white-tailed deer in South Dakota: Growth, Survival and Winter Nutrition",Schmitz,1999,2002,2006,Thesis: South Dakota State University,,,1,169,Artiodactyla,Cervidae,Odocoileus,virginianus,Juvenile,44.00566,-103.41856,78,48,33,2,0,2,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,15
"Home Range, Habitat Use and Survival of Coyotes in Western South Carolina",Schrecengost,2005,2006,2009,The American Midland Natrualist,162,2,346,355,Carnivora,Canidae,Canis,latrans,Adult,33.33353,-81.72442,33,10,8,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Chronic wasting disease detection and mortality sources in semi-protected deer population,Schuler,2003,2005,2018,Wildlife Biology,2018,1,1,7,Artiodactyla,Cervidae,Odocoileus,hemionus,Adult,43.63192,-103.41585,67,28,22,9,9,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,6
Interrelationship of Black Bears to Moose and Forest Succession in the Northern Coniferous Forest,Schwartz,1982,1987,1991,Wildlife Monographs,113,1,3,58,Carnivora,Ursidae,Ursus,americanus,Adult,60.33679,-150.50199,139,24,21,20,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
"Temporal, spatial, and environmental influences on the demographics of grizzly bears in the Greater Yellowstone ecosystem",Schwartz,1983,2001,2006,Wildlife Monographs,161,1,1,68,Carnivora,Ursidae,Ursus,arctos,Multiple,44.84738,-110.49177,323,69,63,11,0,11,0,0,0,0,0,6,42,2,0,0,2,0,0,0,0,6
Interrelationship of Black Bears to Moose and Forest Succession in the Northern Coniferous Forest,Schwartz,1982,1987,1991,Wildlife Monographs,113,1,3,58,Carnivora,Ursidae,Ursus,americanus,Juvenile,60.33679,-150.50199,NA,42,32,24,24,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,10
Factors limiting woodland caribou populations and the interrelationships with wolves and moose in southeastern British Columbia,Seip,1984,1989,1992,Canadian Journal of Zoology,70,8,1494,1503,Artiodactyla,Cervidae,Rangifer,tarandus,Adult,52.61703,-120.83820,51,23,18,0,0,0,0,0,0,0,0,0,0,13,0,3,0,2,0,0,0,5
Factors limiting woodland caribou populations and the interrelationships with wolves and moose in southeastern British Columbia,Seip,1984,1989,1992,Canadian Journal of Zoology,70,8,1494,1503,Artiodactyla,Cervidae,Rangifer,tarandus,Adult,52.45058,-120.05718,75,6,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2
Natality and calf mortality of the Northern Alaska Peninsula and Southern Alaska Peninsula caribou herds,Sellers,1996,1999,2001,Rangifer,14,,161,166,Artiodactyla,Cervidae,Rangifer,tarandus,Juvenile,55.57200,-161.93981,39,22,13,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,9
Natality and calf mortality of the Northern Alaska Peninsula and Southern Alaska Peninsula caribou herds,Sellers,1996,1999,2001,Rangifer,14,,161,166,Artiodactyla,Cervidae,Rangifer,tarandus,Juvenile,56.93252,-158.49225,52,13,7,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,1,0,6
Assessing calf survival and the quantitative impact of reproductive success on the declining moose population in northeastern Minnesota,Severud,2013,2014,2017,Thesis: University of Minnesota,,,1,123,Artiodactyla,Cervidae,Alces,alces,Juvenile,47.30654,-91.45248,49,31,31,0,0,0,0,0,0,0,0,0,0,26,1,0,3,0,0,1,0,0
Effect of Population Demographics and Social Pressures on White-Tailed Deer Dispersal Ecology,Shaw,2001,2002,2006,The Journal of Wildlife Management,70,5,1291,1301,Artiodactyla,Cervidae,Odocoileus,virginianus,Juvenile,39.19067,-76.15669,37,9,9,8,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Survival of White-Tailed Deer Neonates in Louisiana,Shuman,2013,2015,2017,The Journal of Wildlife Management,81,5,834,845,Artiodactyla,Cervidae,Odocoileus,virginianus,Juvenile,32.33584,-91.39600,70,51,50,0,0,0,0,0,0,0,0,0,0,45,0,0,1,4,0,0,0,1
"Factors influencing a declining pronghorn population in Wind Cave National Park, South Dakota",Sievers,2002,2004,2004,Thesis: South Dakota State University,,,1,92,Artiodactyla,Antilocapridae,Antilocapra,americana,Juvenile,46.65304,-103.42903,19,13,13,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0
Survival of Snowshoe Hares at a Geographic Range Boundary,Sievert,1982,1983,1985,The Journal of Wildlife Management,49,4,854,866,Lagomorpha,Leporidae,Lepus,americanus,Adult,44.09795,-90.16725,163,67,67,4,4,0,0,0,0,0,0,0,0,58,0,0,5,0,0,0,0,0
Red-rumped Agouti Home Range Use in an Amazonian Forest: Implications for the Aggregated Distribution of Forest Trees,Silvius,1996,1997,2003,Biotropica,35,1,74,83,Rodentia,Dasyproctidae,Dasyprocta,leporina,Adult,3.29055,-61.72379,5,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Population Ecology of Rocky Mountain Elk in the Black Hills, South Dakota and Wyoming",Simpson,2012,2013,2015,Thesis: South Dakota State University,,,1,156,Artiodactyla,Cervidae,Rangifer,tarandus,Adult,44.11773,-103.96396,49,12,11,7,7,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1
"Population Ecology of Rocky Mountain Elk in the Black Hills, South Dakota and Wyoming",Simpson,2012,2013,2015,Thesis: South Dakota State University,,,1,156,Artiodactyla,Cervidae,Rangifer,tarandus,Juvenile,44.11773,-103.96396,71,16,15,0,0,0,1,0,0,0,0,0,0,13,0,0,0,1,0,0,0,1
"Density Dependence, Compensation, and Environmental Effects on Elk Calf Mortality in Yellowstone National Park",Singer,1987,1990,1997,The Journal of Wildlife Management,61,1,12,25,Artiodactyla,Cervidae,Cervus,elaphus,Juvenile,44.76677,-109.80774,127,65,56,4,4,0,0,0,0,0,0,0,0,29,4,3,0,16,0,0,0,9
"Seasonal movements, habitat use patterns, and population dynamics of white-tailed deer in an agricultural region of northern lower Michigan",Sitar,1994,1995,1996,Thesis: Michigan State University,,,1,130,Artiodactyla,Cervidae,Odocoileus,virginianus,Adult,45.19418,-83.85391,73,11,10,4,3,1,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1
"Seasonal movements, habitat use patterns, and population dynamics of white-tailed deer in an agricultural region of northern lower Michigan",Sitar,1994,1995,1996,Thesis: Michigan State University,,,1,130,Artiodactyla,Cervidae,Odocoileus,virginianus,Juvenile,45.19418,-83.85391,NA,34,30,17,12,5,3,0,0,0,0,0,0,8,0,0,0,1,0,1,0,4
"Survival and cause-specific mortality of elk in Kentucky, USA",Slabach,2011,2015,2018,Wildlife Biology,2018,1,1,9,Artiodactyla,Cervidae,Cervus,canadensis,Adult,37.54456,-83.13080,237,155,152,133,132,1,4,0,0,0,2,1,0,0,12,0,0,0,0,0,0,3
Lynx Population Dynamics in an Untrapped Refugium,Slough,1986,1994,1996,The Journal of Wildlife Management,60,4,946,961,Carnivora,Felidae,Lynx,lynx,Adult,60.13282,-133.27584,100,24,24,7,7,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
The Role of Dispersal in Structuring the Chitwan Tiger Population,Smith,1977,1987,1993,Behaviour,124,3,165,195,Carnivora,Felidae,Panthera,tigris,Adult,27.48183,84.69733,26,6,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Survival of female bighorn sheep (Ovis canadensis) in the Black Hills, South Dakota",Smith,2010,2013,2015,The American Midland Natrualist,174,2,290,301,Artiodactyla,Bovidae,Ovis,canadensis,Adult,43.98869,-103.60522,55,21,11,0,0,0,1,0,0,0,0,0,0,4,6,0,0,0,0,0,0,10
Rates and Causes of Mortality in Mountain Goats,Smith,1980,1985,1986,The Journal of Wildlife Management,50,4,743,746,Artiodactyla,Bovidae,Oreamnos,americanus,Adult,55.36757,-131.57884,62,17,13,5,5,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4
Disease and predation: sorting out causes of a bighorn sheep decline,Smith,2010,2012,2014,Plos One,9,2,e888271,,Artiodactyla,Bovidae,Ovis,canadensis,Juvenile,44.10550,-103.03708,74,70,63,0,0,0,1,0,0,0,0,0,0,21,25,0,8,8,0,0,0,7
"Neonatal mortality of elk in Wyoming: enivornmental, population, and predator effects",Smith,1997,1999,2006,"US Dept of Interior, US Fish and Wildlife Service, Biological Technical Publication BTP-R6007-3007",,,1,32,Artiodactyla,Cervidae,Cervus,canadensis,Juvenile,43.81637,-110.60531,153,42,42,0,0,0,0,0,0,0,0,0,0,32,6,4,0,0,0,0,0,0
Juvenile Survival and Population Regulation of the Jackson Elk Herd,Smith,1990,1992,1998,The Journal of Wildlife Management,62,3,1036,1045,Artiodactyla,Cervidae,Cervus,elaphus,Juvenile,43.79066,-110.68050,164,56,41,37,36,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,15
Effects of Roads on Survival of San Clemente Island Foxes,Snow,2006,2007,2012,The Journal of Wildlife Management,76,2,243,252,Carnivora,Canidae,Urocyon,littoralis,Adult,32.88369,-118.47823,72,15,12,0,0,0,8,0,0,0,0,0,0,0,3,1,0,0,0,0,0,3
"Survival rates and causes of mortality of roe deer Capreolus capreolus in a rural landscape, eastern Poland",Sonnichsen,2010,2013,2017,Mammal Research,62,,141,147,Artiodactyla,Cervidae,Capreolus,capreolus,Adult,52.74955,23.87375,33,26,26,12,0,12,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
Ecology of adult female Rocky Mountain mule deer following habitat enhancements in north-central New Mexico,Sorensen,2011,2014,2015,Thesis: Texas Tech University,,,1,179,Artiodactyla,Cervidae,Odocoileus,hemionus,Adult,36.77078,-104.50142,48,28,26,0,0,0,1,0,0,0,0,1,0,22,0,0,2,0,0,0,0,2
Estimating survival rates of black bears,Sorensen,1981,1996,1998,Canadian Journal of Zoology,76,,1335,1343,Carnivora,Ursidae,Ursus,americanus,Adult,35.82298,-82.30258,151,27,26,26,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Causes and Rates of Mortality of Swift Foxes in Western Kansas,Sovada,1996,1997,1998,The Journal of Wildlife Management,62,4,1300,1306,Carnivora,Canidae,Vulpes,velox,Juvenile,39.11751,-101.64599,24,14,12,0,0,0,4,0,1,0,0,0,0,7,0,0,0,0,0,0,0,2
Causes and Rates of Mortality of Swift Foxes in Western Kansas,Sovada,1996,1997,1998,The Journal of Wildlife Management,62,4,1300,1306,Carnivora,Canidae,Vulpes,velox,Adult,39.11751,-101.64599,41,18,17,0,0,0,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,1
Social and demographic effects of anthropogenic mortality: a test of the compensatory mortality hypothesis in the red wolf,Sparkman,1990,2006,2011,Plos One,6,6,e20868,,Carnivora,Canidae,Canis,rufus,Adult,35.79239,-75.87508,NA,175,142,0,0,0,0,0,0,0,0,107,0,0,0,0,35,0,0,0,0,33
Assessment of mule deer fawn survival and birth site attributes in south-central Oregon,Speten,2010,2012,2015,Thesis: Oregon State University,,,1,70,Artiodactyla,Cervidae,Odocoileus,hemionus,Juvenile,42.86892,-121.55185,113,74,61,2,2,0,1,0,0,0,1,0,0,52,5,0,0,0,0,0,0,13
Cougar population characteristics in Southeastern British Columbia,Spreadbury,1985,1987,1996,The Journal of Wildlife Management,60,4,962,969,Carnivora,Felidae,Puma,concolor,Adult,49.88330,114.86670,29,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alteration of behavior by desert bighorn sheep from human recreation and desert bighorn sheep survival in Canyonlands National Park: 2002-2010,Sproat,2002,2011,2012,Thesis: Brigham Young University,,,1,31,Artiodactyla,Bovidae,Ovis,canadensis,Adult,38.32680,-109.87755,57,9,9,0,0,0,1,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0
Sources and Patterns of Wolverine Mortality in Western Montana,Squires,2002,2005,2007,The Journal of Wildlife Management,71,7,2213,2220,Carnivora,Mustelidae,Gulo,gulo,Adult,44.78202,-114.91740,36,14,13,9,9,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1
The ecology of sociality in Namibian leopards,Stander,1992,1995,1997,Journal of Zoology,242,2,343,364,Carnivora,Felidae,Panthera,pardus,Juvenile,-18.85522,20.61730,18,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Population ecology and demography of Kunene lions,Stander,1999,2004,2006,Predator Conservation Trust Research Paper 2006/1,,,1,9,Carnivora,Felidae,Panthera,leo,Adult,-20.09515,14.90060,28,8,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,1
Population ecology and demography of Kunene lions,Stander,1999,2004,2006,Predator Conservation Trust Research Paper 2006/2,,,1,9,Carnivora,Felidae,Panthera,leo,Juvenile,-20.09515,14.90060,NA,18,17,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,3,1
"Mortality of San Joaquin Kit Fox at Camp Roberts Army National Guard Training Site, California",Standley,1988,1991,1992,US Dept of Energy,,,1,30,Carnivora,Canidae,Vulpes,velox,Adult,35.79012,-120.74184,94,35,23,1,1,0,2,0,0,0,1,0,0,17,2,0,0,0,0,0,0,12
"Mortality of San Joaquin Kit Fox at Camp Roberts Army National Guard Training Site, California",Standley,1988,1991,1992,US Dept of Energy,,,1,30,Carnivora,Canidae,Vulpes,velox,Juvenile,35.79012,-120.74184,NA,14,9,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,5
Reproduction and pre-weaning juvenile survival in a cyclic population of snowshoe hares,Stefan,1989,1996,1998,Thesis: University of British Columbia,,,1,104,Lagomorpha,Leporidae,Lepus,americanus,Juvenile,61.31657,-138.49799,561,273,250,0,0,0,0,0,0,0,0,4,0,219,0,0,0,27,0,0,0,23
Mortality and Movements of Mule Deer Fawns in Washington,Steigers,1977,1977,1980,The Journal of Wildlife Management,44,2,381,388,Artiodactyla,Cervidae,Odocoileus,hemionus,Juvenile,46.64953,-119.54953,26,14,14,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,3,0,0
"Survival of Wisonsin's gray wolves from endangered to harvest, 1980-2013",Stenglein,1980,2013,2014,Thesis: University of Wisconsin Madison,,,1,172,Carnivora,Canidae,Canis,lupus,Adult,45.97422,-90.70416,NA,189,189,62,0,62,0,0,0,0,0,47,0,0,0,0,80,0,0,0,0,0
"Survival of Wisonsin's gray wolves from endangered to harvest, 1980-2013",Stenglein,1980,2013,2014,Thesis: University of Wisconsin Madison,,,1,172,Carnivora,Canidae,Canis,lupus,Juvenile,45.97422,-90.70416,NA,37,37,18,0,18,0,0,0,0,0,5,0,0,0,0,14,0,0,0,0,0
"Productivity, Survival and Movements of Female Moose in a Low-Density Population, Northwest Territories, Canada",Stenhouse,1985,1988,1995,Arctic,48,1,57,62,Artiodactyla,Cervidae,Alces,alces,Adult,68.17062,-130.83311,29,11,8,3,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3
"The ecology of painted ringtails at Mt. Solle, Papua New Guinea and contributions to the conservation of New Guinean Mammals",Stephens,1999,2000,2005,Thesis: University of Massachusetts Amherst,,,1,319,Diprotodontia,Pseudocheiridae,Pseudochirulus,forbesi,Adult,-4.80982,141.75317,38,20,20,0,0,0,0,0,0,0,0,0,0,14,0,2,4,0,0,0,0,0
Causes and consequences of individual variation in territory size in the American red squirrel,Steury,1998,2000,2003,Oikos,101,1,147,156,Rodentia,Sciuridae,Tamiasciurus,hudsonicus,Adult,46.54644,-115.15347,58,23,18,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,5
Survival and cause-specific mortality of coyotes on a large military installation,Stevenson,2011,2012,2016,The Southeastern Naturalist,15,3,459,466,Carnivora,Canidae,Canis,latrans,Juvenile,35.12666,-79.03239,15,4,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Survival and cause-specific mortality of coyotes on a large military installation,Stevenson,2011,2012,2016,The Southeastern Naturalist,15,3,459,466,Carnivora,Canidae,Canis,latrans,Adult,35.12666,-79.03239,16,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Land-use and socio-spatial organization of female leopards in a semi-arid wooded savanna, Botswanna",Steyn,2005,2006,2009,South African Journal of Wildlife Research,39,2,126,132,Carnivora,Felidae,Panthera,pardus,Adult,-22.14650,29.10956,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Use of residual forest by snowshoe hare in a clear-cut boreal landscape,St-Laurent,1998,1999,2008,The Northeastern Naturalist,15,4,497,514,Lagomorpha,Leporidae,Lepus,americanus,Adult,48.94224,-72.09813,20,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
A Telemetric Method for Detecting Jackrabbit Mortality,Stoddart,1967,1969,1970,The Journal of Wildlife Management,34,3,501,507,Lagomorpha,Leporidae,Lepus,californicus,Adult,41.71071,-112.88482,75,25,17,1,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,8
Severe Weather Related Mortality of Black-Tailed Jack Rabbits,Stoddart,1982,1982,1985,The Journal of Wildlife Management,49,3,696,698,Lagomorpha,Leporidae,Lepus,californicus,Adult,41.71071,-112.88482,NA,37,17,7,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,20
"Cougar Exploitation Levels in Utah: Implications for Demographic Structure, Population Recovery, and Metapopulation Dynamics",Stoner,1996,2004,2006,The Journal of Wildlife Management,70,6,1588,1600,Carnivora,Felidae,Puma,concolor,Adult,38.66889,-112.07707,110,52,52,28,25,3,2,0,0,0,0,0,5,4,0,9,0,4,0,0,0,0
Space Use and Survival of White-Tailed Deer in an Exurban Landscape,Storm,2003,2005,2007,The Journal of Wildlife Management,71,4,1170,1176,Artiodactyla,Cervidae,Odocoileus,virginianus,Adult,37.66627,-89.16700,43,7,7,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin Deer Research Studies Annual Report 2013-2014,Storm,2010,2014,2014,Wisconsin Dept of Natural Resources,,,1,19,Artiodactyla,Cervidae,Odocoileus,virginianus,Adult,45.66060,-91.16995,376,24,24,13,12,1,2,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0
Wisconsin Deer Research Studies Annual Report 2013-2014,Storm,2010,2014,2014,Wisconsin Dept of Natural Resources,,,1,19,Artiodactyla,Cervidae,Odocoileus,virginianus,Adult,44.65180,-88.75419,NA,25,23,17,14,3,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2
Wisconsin Deer Research Studies Annual Report 2013-2014,Storm,2010,2014,2014,Wisconsin Dept of Natural Resources,,,1,19,Artiodactyla,Cervidae,Odocoileus,virginianus,Juvenile,44.65180,-88.75419,NA,65,63,21,19,2,9,0,0,0,0,0,0,6,4,0,0,23,0,0,0,2
Wisconsin Deer Research Studies Annual Report 2013-2014,Storm,2010,2014,2014,Wisconsin Dept of Natural Resources,,,1,19,Artiodactyla,Cervidae,Odocoileus,virginianus,Juvenile,45.66060,-91.16995,NA,83,83,17,14,3,4,0,0,0,0,0,0,49,0,0,0,13,0,0,0,0
"Mortality sources and spatial partitioning among mountain caribou, moose, and wolves in the northern Columbia Mountains",Stotyn,2003,2006,2007,Rept to Columbia Basin Fish and Wild Comp Prog,,,1,48,Carnivora,Canidae,Canis,lupus,Adult,51.03526,-118.66093,14,3,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"Mortality sources and spatial partitioning among mountain caribou, moose, and wolves in the northern Columbia Mountains",Stotyn,2003,2006,2007,Rept to Columbia Basin Fish and Wild Comp Prog,,,1,48,Artiodactyla,Cervidae,Alces,alces,Adult,51.03526,-118.66093,35,5,4,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
"Mortality sources and spatial partitioning among mountain caribou, moose, and wolves in the northern Columbia Mountains",Stotyn,2003,2006,2007,Rept to Columbia Basin Fish and Wild Comp Prog,,,1,48,Artiodactyla,Cervidae,Rangifer,tarandus,Adult,51.03526,-118.66093,117,51,37,0,0,0,1,0,0,0,0,0,0,26,0,10,0,0,0,0,0,14
Population demographics and space use of white-tailed deer in the northern lower peninsula of Michigan,Stroud,2005,2008,2009,Thesis: Southern Illinois University Carbondale,,,1,57,Artiodactyla,Cervidae,Odocoileus,virginianus,Adult,44.26016,-86.11373,105,23,21,9,8,1,4,0,0,0,0,0,1,4,0,0,0,3,0,0,0,2
The effects of predation and food on red squirrel survival during a snowshoe hare decline,Stuart-Smith,1991,1992,1993,Thesis: University of Alberta,,,1,91,Rodentia,Sciuridae,Tamiasciurus,hudsonicus,Adult,61.33233,-138.57623,59,17,17,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
The effects of predation and food on red squirrel survival during a snowshoe hare decline,Stuart-Smith,1991,1992,1993,Thesis: University of Alberta,,,1,91,Rodentia,Sciuridae,Tamiasciurus,hudsonicus,Juvenile,61.33233,-138.57623,60,16,13,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3
Survival of Resident and Translocated Female Elk in the Cascade Mountains of Oregon,Stussy,1988,1992,1994,Wildlife Society Bulletin,22,2,242,247,Artiodactyla,Cervidae,Cervus,elaphus,Adult,44.99110,-121.86603,184,54,38,37,11,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16
Does the use of vaginal-implant transmitters affect neonate survival rate of white-tailed deer,Swanson,2003,2003,2008,Wildlife Biology,14,2,272,279,Artiodactyla,Cervidae,Odocoileus,virginianus,Juvenile,43.96368,-95.42629,21,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Predation on Moose Calves by European Brown Bears,Swenson,1988,1996,2007,The Journal of Wildlife Management,71,6,1993,1997,Artiodactyla,Cervidae,Alces,alces,Juvenile,61.40726,15.65406,47,23,23,0,0,0,0,0,0,0,0,0,0,21,0,2,0,0,0,0,0,0
"Survival, Mortality and Predators of Red Tree Voles (Arborimus longicaudus)",Swingle,2002,2003,2010,Northwestern Science,84,3,255,265,Rodentia,Cricetidae,Arborimus,longicaudus,Adult,43.36514,-123.04700,50,28,28,0,0,0,0,0,0,0,0,0,0,25,0,2,1,0,0,0,0,0
"Mule Deer Movements, Survival and Use of Contaminated Areas at Rocky Flats, Colorado",Symonds,1990,1992,1992,Thesis: Colorado State University,,,1,67,Artiodactyla,Cervidae,Odocoileus,hemionus,Adult,39.89128,-105.20086,39,15,11,0,0,0,8,0,0,0,0,0,0,1,0,2,0,0,0,0,0,4
"Mule Deer Movements, Survival and Use of Contaminated Areas at Rocky Flats, Colorado",Symonds,1990,1992,1992,Thesis: Colorado State University,,,1,67,Artiodactyla,Cervidae,Odocoileus,hemionus,Juvenile,39.89128,-105.20086,40,10,10,0,0,0,5,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0
"Ranging Behavior and Population Dynamics of the Chacoan Peccary, Catagonus wagneri",Taber,1988,1989,1993,Journal of Mammalogy,74,2,443,454,Artiodactyla,Tayassuidae,Catagonus,wagneri,Adult,-22.38731,-60.40513,7,4,3,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
Effects of calf predation and nutrition on elk vital rates ,Tatman,2009,2012,2018,The Journal of Wildlife Management,82,7,1417,1428,Artiodactyla,Cervidae,Cervus,canadensis,Juvenile,36.63138,-104.14448,245,159,130,3,3,0,0,0,0,0,0,0,0,123,2,1,0,0,0,1,0,29
"Activity patterns, home ranges and burrow use of aardvarks (Orycteropus afer) in the Karoo",Taylor,1996,1997,2003,Journal of Zoology,261,3,291,297,Tubulidentia,Orycteropodidae,Orycteropus,afer,Juvenile,-30.49067,26.11951,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Activity patterns, home ranges and burrow use of aardvarks (Orycteropus afer) in the Karoo",Taylor,1996,1997,2003,Journal of Zoology,261,3,291,297,Tubulidentia,Orycteropodidae,Orycteropus,afer,Adult,-30.49067,26.11951,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Behavior and Cause-specific mortality of mule deer fawns on the national rifle association Whittington center of North-central New Mexico,Taylor,2011,2012,2012,Thesis: Texas Tech University,,,1,91,Artiodactyla,Cervidae,Odocoileus,hemionus,Juvenile,36.77717,-104.49455,50,37,35,0,0,0,1,0,0,0,0,0,0,33,0,0,1,0,0,0,0,2
"Spatial Ecology, Survival and Cause-Specific Mortality of Gray Foxes in a longleaf pine ecosystem",Temple,2002,2006,2010,The American Midland Natrualist,163,2,413,422,Carnivora,Canidae,Urocyon,cinereoargenteus,Adult,31.24794,-84.37368,42,16,12,2,2,0,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4
Population Dynamics of Moose and Predators in Game Management Unit 13,Testa,1997,2000,2001,"Alaska Dept of Fish and Game, Federal Aid in Wildlife Restoration research final performance report, grants W-24-3 through W-27-3, Study 1.49",,,1,43,Artiodactyla,Cervidae,Alces,alces,Juvenile,63.21538,-150.37712,60,35,31,0,0,0,0,0,0,0,0,0,0,25,1,1,4,0,0,0,0,4
