Title,Author,Start Date,End Date,Publication Year,Source,Volume,Issue,Beg page,End page,Order,Family,Genus,Species,Age,Latitude,Longitude,Number tracked,Total Mortality,Known Mortality,Total Harvest,Legal Harvest,Illegal Harvest,Vehicle,Fence,Electrocution,Wind Turbine,Powerline,Other Human,Predation,Disease,Accident/Injury,Starvation,Other Natural,Unknown
Reevaluating the cost of natal dispersal: post-fledging survival of red-bellied woodpeckers,Cox,2009,2010,2012,Condor,114,2,341,347,Piciformes,Picidae,Melanerpes,carolinus,Juvenile,37.54656,-91.29198,43,7,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
Survival and Cause-Specific Mortality of Northern bobwhites in Western Oklahoma,Cox,1991,2002,2004,The Journal of Wildlife Management,68,3,663,671,Galliformes,Odontophoridae,Colinus,virginianus,Adult,35.89839,-99.72419,2660,386,333,91,91,0,0,0,0,0,0,0,242,0,0,0,0,53
Survival and Cause-Specific Mortality of Northern bobwhites in Western Oklahoma,Cox,1991,2002,2004,The Journal of Wildlife Management,68,3,663,671,Galliformes,Odontophoridae,Colinus,virginianus,Juvenile,35.89839,-99.72419,NA,1676,1372,221,463,0,0,0,0,0,0,0,909,0,0,0,0,304
Survival of Female Northen Pintails Wintering in Southwestern Louisiana,Cox,1990,1993,1998,The Journal of Wildlife Management,62,4,1512,1521,Anseriformes,Anatidae,Anas,Acuta,Adult,29.96119,-93.58835,320,70,54,46,45,1,0,0,0,0,0,0,8,0,0,0,0,16
Satellite telemetry of Afrotropical ducks: methodological details and assessment of success rates,Cumming,2008,2009,2011,African Journal of Zoology,46,2,425,434,Anseriformes,Anatidae,Alopochen, aegyptiacus,Adult,-26.60566,25.58676,47,3,3,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Achieving better estimates of greater sage-grouse chick survival in Utah,Dahlgren,2005,2006,2010,The Journal of Wildlife Management,74,6,1286,1294,Galliformes,Phasianidae,Centrocerus,urophasianus,Juvenile,38.32443,-111.88003,156,44,44,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0
Survival and movements of juvenile burrowing owls during the postfledging period,Davies,2003,2004,2006,Condor,108,2,282,291,Strigiformes,Strigidae,Athene,cunicularia,Juvenile,46.68785,-103.44588,40,10,10,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0
Gunnison Sage-grouse demography and conservation,Davis,2005,2010,2012,Thesis: Colorado State University,,,1,178,Galliformes,Phasianidae,Centrocerus,minimus,Multiple,38.01853,-108.49477,25,18,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,8
Gunnison Sage-grouse demography and conservation,Davis,2005,2010,2012,Thesis: Colorado State University,,,1,178,Galliformes,Phasianidae,Centrocerus,minimus,Multiple,38.52741,-106.92372,217,135,71,0,0,0,0,0,0,0,2,0,69,0,0,0,0,64
Factors affecting winter survival of female mallards in the lower Mississippi Alluvial valley,Davis,2004,2006,2011,Waterbirds,343,2,186,194,Anseriformes,Anatidae,Anas,platyrhynchos,Mulitple,32.90388,-92.08735,174,36,34,18,18,0,0,0,0,0,0,0,16,0,0,0,0,2
Post-Fledging Movements of Sprague's Pipit,Davis,2004,2005,2009,Wilson Journal of Ornithology,121,1,198,202,Passeriformes,Motacillidae,Anthus,spragueii,Juvenile,51.40064,-105.26801,19,11,11,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0
Wood duckling mortality and habitat implications in floodplain systems,Davis,1996,1999,2009,Wetlands,29,2,607,614,Anseriformes,Anatidae,Aix,sponsa,Juvenile,33.26730,-88.77504,NA,324,280,0,0,0,0,0,0,0,0,0,273,0,0,0,7,44
Survival of Female Wood Ducks during brood rearing in Alabama and Mississippi,Davis,1996,1999,2001,The Journal of Wildlife Management,65,4,738,744,Anseriformes,Anatidae,Aix,sponsa,Adult,33.27005,-88.78076,137,6,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"Survival and harvest of ruffed grouse in central Maine, USA",Davis,2014,2017,2018,The Journal of Wildlife Management,82,6,1263,1272,,,Bonasa,umbellus,Multiple,44.47199,-69.22106,248,178,152,43,43,0,0,0,0,0,0,0,109,0,0,0,0,26
"Demography, Reproductive Ecology and Variation in Survival of Greater  Sage-Grouse in Northeastern California",Davis,2007,2009,2014,The Journal of Wildlife Management,78,8,1343,1355,Galliformes,Phasianidae,Centrocerus,urophasianus,Adult,40.41976,-120.02734,69,37,36,1,1,0,0,0,0,0,0,1,34,0,0,0,0,1
Summer-Fall Survival of American Woodcock in Maine,Derleth,1982,1984,1990,The Journal of Wildlife Management,54,1,97,106,Charadriiformes,Scolopacidae,Scolopax,minor,Multiple,45.02981,-67.30760,128,14,14,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0
